Address,Closest Semantically Similar Address,Semantic Similarity Score
https://example.com/blog/seo-tips,https://example.com/guide/seo-best-practices,0.85
https://example.com/product/shoes,https://example.com/product/running-shoes,0.92
https://example.com/blog/content-marketing,https://example.com/blog/digital-marketing,0.78
https://example.com/guide/wordpress-seo,https://example.com/blog/wordpress-seo-guide,0.89
https://example.com/product/laptops,https://example.com/product/computers,0.76
https://example.com/blog/email-marketing,https://example.com/guide/email-campaigns,0.83
https://example.com/product/smartphones,https://example.com/product/mobile-phones,0.95
https://example.com/blog/social-media,https://example.com/guide/social-media-marketing,0.81
https://example.com/product/tablets,https://example.com/product/ipad,0.87
https://example.com/blog/seo-checklist,https://example.com/guide/seo-audit,0.79
